Title of the book,Author/s,Book_type,Original Price(RRP),Discount Price,ISBN-10,Published Date,Publisher,No of pages
Long Walk To Freedom,Nelson Mandela,ePUB,12.99,12.99,9781405530743,2013-04-25,"Little, Brown Book Group",784
The Last Stand of the Tin Can Sailors,James D. Hornfischer,ePUB,17.14,13.99,9780307487308,2008-11-12,Random House Publishing Group,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Fer-de-Lance,Rex Stout,ePUB,8.55,7.99,9780307755926,2010-07-21,Random House Publishing Group,
The Intimate Adventures Of A London Call Girl,Belle de Jour,ePUB,12.99,12.99,9780297861027,2010-03-25,Orion,304
Book not found,,,,,,,,
Eat Yourself Healthy,Dr. Megan Rossi,ePUB,19.99,19.99,9780241984543,2019-09-19,Penguin Books Ltd,272
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
INSPIRED,Marty Cagan,ePUB,32.99,32.99,9781119387565,2017-11-21,Wiley,368
Los Yoga Sutras de Patanjali,Swami Satchidananda,E-Book,0.0,0.0,9781306300933,2013-01-01,Integral Yoga Publications,289
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The House of Hades (Heroes of Olympus Book 4),Rick Riordan,ePUB,9.99,9.99,9780141339214,2013-10-08,Penguin Books Ltd,560
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Cult Sci-Fi Movies,Danny Peary,ePUB,5.99,5.99,9780761184270,2014-09-23,Workman Publishing Company,104
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Devastated,R.L. Mathewson,ePUB,4.3,4.3,9780998601731,2020-06-25,R.L. Mathewson,
Book not found,,,,,,,,
Book not found,,,,,,,,
Two Can Keep a Secret,Karen M. McManus,ePUB,12.99,12.99,9780141375663,2019-01-10,Penguin Random House Children's UK,336
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Holy Roman Empire,Peter H. Wilson,ePUB,18.99,18.99,9780141956916,2016-01-28,Penguin Books Ltd,600
No One Home,Tim Weaver,ePUB,15.99,15.99,9781405939508,2019-05-16,Penguin Books Ltd,400
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Centurion (Eagles of the Empire 8),Simon Scarrow,ePUB,12.99,12.99,9780755350896,2008-09-04,Headline,544
Book not found,,,,,,,,
We,Yevgeny Zamyatin,ePUB,23.99,19.99,9780307432865,2007-12-18,Random House Publishing Group,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Life 3.0,Max Tegmark,ePUB,15.99,15.99,9780141981796,2017-08-29,Penguin Books Ltd,400
Book not found,,,,,,,,
Book not found,,,,,,,,
Mercy,Jussi Adler-Olsen,ePUB,15.99,15.99,9780141962511,2011-05-12,Penguin Books Ltd,512
The Difference a Day Makes,Carole Matthews,ePUB,12.99,12.99,9781405523707,2013-01-01,"Little, Brown Book Group",464
The First Rumpole Omnibus,John Mortimer,ePUB,16.99,16.99,9780141928005,2000-01-01,Penguin Books Ltd,560
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Hamlyn All Colour Cookery: 200 Super Soups,Sara Lewis,ePUB,6.99,6.99,9780600623007,2007-09-07,Octopus,240
Book not found,,,,,,,,
Book not found,,,,,,,,
Legend,Marie Lu,ePUB,4.99,4.99,9780141339429,2012-02-02,Penguin Random House Children's UK,368
Book not found,,,,,,,,
Book not found,,,,,,,,
The Fate of Ten,Pittacus Lore,ePUB,15.99,15.99,9781405913652,2015-09-10,Penguin Books Ltd,384
Book not found,,,,,,,,
Book not found,,,,,,,,
The Blade Itself,Joe Abercrombie,ePUB,12.99,12.99,9780575091504,2009-06-18,Orion,544
Book not found,,,,,,,,
The Constant Gardener,John le Carré,ePUB,15.99,15.99,9780241322345,2018-09-27,Penguin Books Ltd,592
Mercy Blade,Faith Hunter,ePUB,13.19,10.99,9781101476772,2011-01-04,Penguin Publishing Group,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Violent Delights,Jessica Hawkins,ePUB,5.99,5.99,9780998815596,2019-03-19,"518 Books, Inc.",
Pranklopedia,Julie Winterbottom,ePUB,19.99,19.99,9780761176855,2013-04-23,Workman Publishing Company,250
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
I Am Zlatan Ibrahimovic,Zlatan Ibrahimovic,ePUB,14.99,14.99,9780241966846,2013-06-27,Penguin Books Ltd,352
Bye Baby,Daniel Donnelly,ePUB,4.99,4.99,9780648257714,2018-07-02,Daniel Donnelly,312
Book not found,,,,,,,,
Book not found,,,,,,,,
Cause Of Death,Patricia Cornwell,ePUB,11.99,11.99,9780748109326,2008-09-04,"Little, Brown Book Group",384
Book not found,,,,,,,,
Home Ec for Everyone: Practical Life Skills in 118 Projects,Sharon Bowers,Paperback,31.8,31.8,9781523512379,2023-10-30,Workman,240
Fair Stood the Wind for France,H. E. Bates,ePUB,15.99,15.99,9780141904986,2005-04-07,Penguin Books Ltd,256
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Water Will Come,Jeff Goodell,ePUB,20.99,20.99,9780316260237,2017-10-24,"Little, Brown and Company",352
Book not found,,,,,,,,
Book not found,,,,,,,,
Dead Right,Peter Robinson,ePUB,12.35,8.95,9780330469326,2008-09-04,None,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Roller-Coaster,Ian Kershaw,ePUB,18.99,18.99,9780241187173,2018-08-30,Penguin Books Ltd,704
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Twilight,Stephenie Meyer,ePUB,11.99,11.99,9780748112517,2009-02-26,"Little, Brown Book Group",464
Book not found,,,,,,,,
Book not found,,,,,,,,
Dreamfever,Karen Marie Moning,ePUB,13.19,10.88,9780440338789,2009-08-18,Random House Publishing Group,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Grapes of Wrath,Robert DeMott,ePUB,15.99,15.99,9780141915036,2001-04-26,Penguin Books Ltd,544
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Moby-Dick,Herman Melville,ePUB,1.45,1.45,9780486114347,2012-02-13,Dover Publications,464
Book not found,,,,,,,,
Down a Dark Road,Linda Castillo,ePUB,14.95,11.99,9781250121301,2017-07-11,St. Martin's Publishing Group,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Moosewood Restaurant New Classics,Moosewood Collective,ePUB,0.0,0.0,9781101905104,2015-08-18,Potter/Ten Speed/Harmony/Rodale,
Book not found,,,,,,,,
The Bell Jar,Sylvia Plath,ePUB,16.49,14.99,9780571248209,2008-11-20,Faber & Faber,240
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
"The Zombie Chronicles, Book 1",Mark Mulle,ePUB,0.0,0.0,9781370148721,2016-10-12,Mark Mulle,
Book not found,,,,,,,,
Appaloosa Summer,Tudor Robins,ePUB,4.99,4.99,9780993683718,2023-10-25,Tudor Robins,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Stuff Matters,Mark Miodownik,ePUB,15.99,15.99,9780141970745,2013-06-06,Penguin Books Ltd,352
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Cursor's Fury,Jim Butcher,ePUB,11.99,11.99,9780748111886,2009-07-02,"Little, Brown Book Group",512
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Death Masks,Jim Butcher,ePUB,12.99,12.99,9780748116102,2010-03-04,"Little, Brown Book Group",416
Book not found,,,,,,,,
Book not found,,,,,,,,
The Second Half,Roy Keane,ePUB,12.99,12.99,9780297608905,2014-10-09,Orion,288
The Chain Of Curiosity,Sandi Toksvig,ePUB,12.99,12.99,9781405527231,2013-01-24,"Little, Brown Book Group",320
Book not found,,,,,,,,
Book not found,,,,,,,,
Thanos Rising,Jason Aaron,ePUB,13.19,10.99,9781302369941,2014-06-04,Marvel Entertainment,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Ghost Town,Rachel Caine,ePUB,10.25,10.25,9780749009403,2010-11-01,Allison & Busby,478
The Halfling's Gem,R.A. Salvatore,ePUB,16.12,12.99,9780786954063,2009-06-23,Wizards of the Coast Publishing,384
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Foxhole Court,Nora Sakavic,ePUB,0.0,0.0,9781301529049,2015-05-10,Nora Sakavic,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Tempest,William Shakespeare,ePUB,1.45,1.45,9780486113845,2012-03-22,Dover Publications,96
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
How to Behave So Your Dog Behaves Revised and Updated 2nd Edition,Dr. Sophia Yin,ePUB,20.53,16.99,9780793842902,2010-07-01,"TFH Publications, Inc.",
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Antifragile,Nassim Nicholas Taleb,ePUB,16.99,16.99,9780718197902,2012-11-27,Penguin Books Ltd,544
Academ's Fury,Jim Butcher,ePUB,11.99,11.99,9780748111732,2009-06-04,"Little, Brown Book Group",608
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Solis,Kat Ross,ePUB,4.39,4.39,9780999048139,2021-08-01,Acorn Publishing,
Our Endless Numbered Days,Claire Fuller,ePUB,15.99,15.99,9780241969014,2015-02-26,Penguin Books Ltd,368
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Mist,Ragnar Jónasson,ePUB,15.99,15.99,9781405934893,2020-04-30,Penguin Books Ltd,320
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Lolita,Vladimir Nabokov,ePUB,15.99,15.99,9780141391601,2012-07-27,Penguin Books Ltd,336
Book not found,,,,,,,,
Book not found,,,,,,,,
Surface Detail,Iain M. Banks,ePUB,12.99,12.99,9780748117338,2010-10-07,"Little, Brown Book Group",400
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Honeyfield Bequest,Anna Jacobs,ePUB,14.38,12.99,9780749020057,2016-08-18,Allison & Busby,300
Book not found,,,,,,,,
Book not found,,,,,,,,
The Young Hornblower Omnibus,C.S. Forester,ePUB,15.99,15.99,9780141959184,2000-12-07,Penguin Books Ltd,640
Book not found,,,,,,,,
Book not found,,,,,,,,
Dry Bones That Dream,Peter Robinson,ePUB,12.35,8.95,9780330514583,2009-08-21,None,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Final Option,Clive Cussler,ePUB,15.99,15.99,9781405941020,2019-11-14,Penguin Books Ltd,400
Book not found,,,,,,,,
Book not found,,,,,,,,
The Magicians' Guild,Trudi Canavan,ePUB,12.99,12.99,9780748116669,2010-01-07,"Little, Brown Book Group",480
Book not found,,,,,,,,
Book not found,,,,,,,,
Cat & Mouse,James Patterson,Paperback,40.25,40.25,9780446692649,2003-08-01,GRAND CENTRAL PUBL            ,419
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Animal Farm,George Orwell,ePUB,10.99,10.99,9780141905914,2003-06-05,Penguin Books Ltd,144
"Call Down the Hawk (The Dreamer Trilogy, Book 1)",Maggie Stiefvater,ePUB,19.06,15.99,9781338188356,2019-11-05,Scholastic Inc.,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Chrysalids,John Wyndham,ePUB,15.99,15.99,9780241950609,2010-04-01,Penguin Books Ltd,224
The Natural Baby Sleep Solution,Polly Moore Ph.D.,ePUB,19.99,19.99,9780761193029,2016-03-08,Workman Publishing Company,192
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Secrets,Lesley Pearse,ePUB,15.99,15.99,9780141907055,2005-01-13,Penguin Books Ltd,576
Book not found,,,,,,,,
The Big Short,Michael Lewis,ePUB,14.99,14.99,9780241956007,2011-01-27,Penguin Books Ltd,288
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
When we were Warriors,Emma Carroll,ePUB,10.99,9.99,9780571350414,2019-02-05,Faber & Faber,256
The Limpet Syndrome,Tony Moyle,ePUB,3.29,1.8,9781326978471,2017-10-10,Lulu.com,
Book not found,,,,,,,,
The Man Who Smiled,Henning Mankell,ePUB,15.99,15.99,9781407017730,2008-09-04,Random House,448
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Total Control,David Baldacci,Paperback,45.5,45.5,9781538711804,2019-01-29,GRAND CENTRAL PUBL            ,656
Book not found,,,,,,,,
Moon Over Soho,Ben Aaronovitch,ePUB,11.99,11.99,9780575097636,2011-04-21,Orion,384
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
"Robots, Robots Everywhere",Sue Fliess,ePUB,8.79,7.99,9780375981364,2013-08-06,Random House Children's Books,
The Doghouse,Jan Thomas,ePUB,5.99,5.99,9781328686008,2018-06-19,HarperCollins,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Night Probe!,Clive Cussler,Paperback,22.99,22.4,9780751505047,1993-10-11,Little Brown,384
An Abundance of Katherines,John Green,ePUB,9.99,9.99,9780141346106,2012-06-28,Penguin Random House Children's UK,272
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Who Is Barack Obama?,Roberta Edwards,ePUB,8.79,7.99,9781101171127,2009-12-24,Penguin Young Readers Group,112
Book not found,,,,,,,,
Sandringham Days,John Matson,ePUB,18.49,15.99,9780752483115,2012-02-29,The History Press,192
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Hope(less),Melissa Haag,ePUB,0.0,0.0,9780988852310,2015-06-17,Melissa Haag,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Glossy Years,Nicholas Coleridge,ePUB,15.99,15.99,9780241983522,2019-09-26,Penguin Books Ltd,400
Book not found,,,,,,,,
Book not found,,,,,,,,
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,ePUB,16.99,16.99,9780241251003,2019-03-07,Penguin Books Ltd,288
Book not found,,,,,,,,
The Other Wife,Michael Robotham,ePUB,11.99,11.99,9780751562835,2018-06-26,"Little, Brown Book Group",400
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
British Battles of the Napoleonic Wars 1793-1806,Martin Mace,E-Book,0.0,0.0,9781322006925,2013-01-01,Pen and Sword Military,234
The Nightingales are Drunk,Hafez,ePUB,4.99,4.99,9780141980270,2015-02-26,Penguin Books Ltd,96
Book not found,,,,,,,,
Reasons to be Cheerful,Nina Stibbe,ePUB,15.99,15.99,9780241974995,2019-03-28,Penguin Books Ltd,320
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
A Handful of Dust,Evelyn Waugh,ePUB,15.99,15.99,9780141886374,2012-05-31,Penguin Books Ltd,288
Book not found,,,,,,,,
Red Sniper on the Eastern Front,Joseph Pilyushin,E-Book,0.0,0.0,9781283589239,2010-03-01,PEN & SWORD BOOKS,296
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Disobedience,Naomi Alderman,ePUB,15.99,15.99,9780141906072,2007-04-05,Penguin Books Ltd,288
I Am Legend,Richard Matheson,ePUB,9.99,9.99,9780575119574,2011-09-01,Orion,176
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Flesh Wounds,Chris Brookmyre,ePUB,12.99,12.99,9781405515979,2013-08-01,"Little, Brown Book Group",416
Shepherds Abiding,Jan Karon,ePUB,20.57,16.99,9781101200407,2004-09-28,Penguin Publishing Group,304
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Heaven,Randy Alcorn,Hardcover,48.99,44.25,9780842379427,2004-10-01,Tyndale House Publishers,560
Book not found,,,,,,,,
American Gods,Neil Gaiman,ePUB,12.99,12.99,9780755379927,2011-11-10,Headline,521
Book not found,,,,,,,,
Book not found,,,,,,,,
Broken Homes,Ben Aaronovitch,ePUB,12.99,12.99,9780575132498,2013-07-25,Orion,320
Chernobyl,Serhii Plokhy,ePUB,15.99,15.99,9780241349038,2018-05-15,Penguin Books Ltd,256
Book not found,,,,,,,,
Vince and Joy,Lisa Jewell,ePUB,15.99,15.99,9780141040035,2005-08-04,Penguin Books Ltd,512
5 People Who Died During Sex,Karl Shaw,ePUB,8.55,7.99,9780767922968,2007-02-13,Crown,
Book not found,,,,,,,,
The Burning,Jane Casey,ePUB,12.99,12.99,9781409005018,2010-11-11,Ebury Publishing,496
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Threat Vector,Tom Clancy,ePUB,15.99,15.99,9780718198114,2012-12-06,Penguin Books Ltd,720
Book not found,,,,,,,,
The Black Prism,Brent Weeks,ePUB,11.99,11.99,9780748116973,2010-08-26,"Little, Brown Book Group",480
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Private Lives of the Tudors,Sergei Lebedev,ePUB,27.49,21.99,9780802189806,2020-02-26,Grove Atlantic,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Inversions,Iain M. Banks,ePUB,12.99,12.99,9780748110025,2008-09-04,"Little, Brown Book Group",416
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Falling For You,Leeanna Morgan,ePUB,9.25,9.25,9780994135551,2018-10-16,Rogan Press,
Business Model Generation,Yves Pigneur Alexander Osterwalder,ePUB,45.09,45.09,9781118656402,2013-02-01,Wiley Professional Development (P&T),288
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Eragon: Book One,Christopher Paolini,ePUB,12.99,12.99,9781407047201,2009-03-08,RHCB,528
Hooked,Nir Eyal,ePUB,36.75,36.75,9780698190665,2014-11-04,None,256
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Hothouse Flower,Lucinda Riley,ePUB,15.99,15.99,9780141961392,2010-11-25,Penguin Books Ltd,592
Book not found,,,,,,,,
The Invisible Bridge,Julie Orringer,ePUB,15.99,15.99,9780241957141,2011-03-29,Penguin Books Ltd,624
Book not found,,,,,,,,
Book not found,,,,,,,,
The Art of War,Sun Tzu,ePUB,16.99,16.99,9780857081025,2016-05-16,Wiley,220
Book not found,,,,,,,,
Past Reason Hated,Peter Robinson,ePUB,12.35,8.95,9780330469401,2008-09-04,None,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
2001,Arthur C. Clarke,ePUB,11.99,11.99,9780748120789,2010-06-03,"Little, Brown Book Group",288
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Greek Myths,Robert Graves,ePUB,18.99,18.99,9780241983386,2017-09-28,Penguin Books Ltd,784
Book not found,,,,,,,,
Girls of Paper and Fire,Natasha Ngan,ePUB,18.99,18.99,9780316561389,2018-10-23,"Little, Brown and Company",336
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
World War One,Norman Stone,ePUB,14.99,14.99,9780141040950,2008-03-27,Penguin Books Ltd,240
The New Kid,Maureen Straka,ePUB,0.0,0.0,9781370687138,2018-04-21,Maureen Straka,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Murder of Patience Brooke,J.C. Briggs,ePUB,16.49,4.75,9780750957595,2014-08-04,The History Press,128
On the Road,Jack Kerouac,ePUB,15.99,15.99,9780141912561,2011-07-21,Penguin Books Ltd,320
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Curly Girl,Lorraine Massey,ePUB,25.25,20.23,9780761164029,2011-01-13,Workman Publishing Company,
Book not found,,,,,,,,
Cover Your Eyes,Mary Burton,ePUB,15.99,15.99,9781405918909,2014-11-06,Penguin Books Ltd,307
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Animal Farm And 1984,George Orwell,ePUB,15.99,15.99,9780547504186,2003-06-01,HarperCollins,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Happiness by Design,Paul Dolan,ePUB,15.99,15.99,9780241003114,2014-08-28,Penguin Books Ltd,208
Book not found,,,,,,,,
Book not found,,,,,,,,
Crossed,Ally Condie,ePUB,12.99,12.99,9780141969985,2011-11-24,Penguin Random House Children's UK,384
Book not found,,,,,,,,
Stalin,Simon Sebag Montefiore,ePUB,13.99,13.99,9780297863854,2010-06-03,Orion,820
Book not found,,,,,,,,
Eagle in the Sky,Wilbur Smith,ePUB,13.95,10.5,9780330466295,2008-09-04,None,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Book of Basketball,Bill Simmons,ePUB,25.7,20.99,9780345513113,2009-10-27,Random House Publishing Group,
David and Goliath,Malcolm Gladwell,ePUB,15.99,15.99,9780241959602,2013-10-03,Penguin Books Ltd,304
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
New Moon,Stephenie Meyer,ePUB,11.99,11.99,9780748112524,2009-02-26,"Little, Brown Book Group",608
The Vanishing Act of Esme Lennox,Maggie O'Farrell,ePUB,11.99,11.99,9780755372263,2009-11-12,Headline,145
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Pursuit of Glory,Tim Blanning,ePUB,19.99,19.99,9780141912752,2008-02-28,Penguin Books Ltd,736
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Lifeless,Mark Billingham,ePUB,12.99,12.99,9780748109449,2008-09-04,"Little, Brown Book Group",480
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Tuesday's Gone,Nicci French,ePUB,15.99,15.99,9780141964010,2012-07-19,Penguin Books Ltd,464
A Spy Among Friends,Ben Macintyre,ePUB,18.39,15.99,9781408851746,2014-03-03,Bloomsbury Publishing,368
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Bookseller Of Kabul,Åsne Seierstad,ePUB,11.99,11.99,9780748108527,2008-09-04,"Little, Brown Book Group",288
Book not found,,,,,,,,
The State We're In,Adele Parks,ePUB,12.99,12.99,9780755371402,2013-07-04,Headline,354
Book not found,,,,,,,,
Book not found,,,,,,,,
Tending Roses,Lisa Wingate,ePUB,14.66,11.99,9781101575918,2003-02-04,Penguin Publishing Group,336
Book not found,,,,,,,,
Against All Enemies,Tom Clancy,ePUB,15.99,15.99,9780241960196,2011-08-11,Penguin Books Ltd,768
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Predator,Patricia Cornwell,Hardcover,49.99,44.99,9780316724210,2005-10-01,"Little, Brown & Company",384
Book not found,,,,,,,,
The Child,Fiona Barton,ePUB,15.99,15.99,9781473526938,2017-06-29,Transworld,448
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Burma Victory,David Rooney,E-Book,0.0,0.0,9781299598195,2013-01-01,Osprey Publishing (UK),
Book not found,,,,,,,,
Book not found,,,,,,,,
Dangerous Lady,Martina Cole,ePUB,11.99,11.99,9780755350704,2008-09-04,Headline,576
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Beartown,Fredrik Backman,ePUB,15.99,15.99,9781405937733,2018-05-03,Penguin Books Ltd,432
Defending Your Marriage - The Reality of Spiritual Battle,Tim Muehlhoff,Paperback,31.64,31.25,9780830845507,2018-11-13,InterVarsity Press,176
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
A Tale of Two Cities,Charles Dickens,ePUB,2.75,2.75,9781105795985,2013-03-13,None,
A Pocketful of Holes and Dreams,Jeff Pearce,ePUB,14.99,14.99,9780141965932,2011-01-20,Penguin Books Ltd,288
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
